name,number,homegrown,new,position,birthday,height,weight,place_birth,nation,before_team,participation,goals,f_p_day,f_g_day
チョン ソンリョン,1,,,GK,1985/01/04,191,91,大韓民国,大韓民国,西歸浦高等学校／大韓民国－浦項スティーラース／大韓民国－城南一和／大韓民国－水原三星ブルーウィングス／大韓民国,121/0/0,,2016/02/27,
登里 享平,2,ホームグロウン,,DF,1990/11/13,168,68,大阪府,日本,ＥＸＥ’９０ＦＣ－香川西高,185/0/0,7/0/0,2009/06/20,2009/10/25
ジェジエウ,4,,,DF,1994/03/05,186,84,ブラジル,ブラジル,アトレチコ　ミネイロ／ブラジル－ＣＡブラガンチーノ／ブラジル－アトレチコ　ミネイロ／ブラジル－ミラソウＦＣ／ブラジル－パラナ　クラブ／ブラジル－川崎フロンターレ－アトレチコ　ミネイロ／ブラジル,16/0/0,,2019/05/03,
谷口 彰悟,5,,,DF,1991/07/15,183,75,熊本県,日本,熊本ユナイテッドＳＣ－大津高－筑波大,197/0/0,14/0/0,2014/03/23,2014/08/30
守田 英正,6,,,MF,1995/05/10,177,75,大阪府,日本,高槻清水ＦＣ－高槻第九中－金光大阪高－流通経済大,49/0/0,,2018/02/25,
車屋 紳太郎,7,,,DF,1992/04/05,178,75,熊本県,日本,長嶺中－大津高－筑波大,154/0/0,1/0/0,2014/11/29,2016/07/30
脇坂 泰斗,8,ホームグロウン,,MF,1995/06/11,172,68,神奈川県,日本,ＦＣ本郷－エスペランサＪｒユース－川崎フロンターレＵ－１８－阪南大,19/0/0,5/0/0,2019/04/19,2019/05/12
レアンドロ ダミアン,9,,,FW,1989/07/22,188,90,ブラジル,ブラジル,アトレチコ　イビラマ／ブラジル－ドーゼ　デ　オウトゥブロ／ブラジル－ＣＮマルシリオ・ジアス／ブラジル－ＣＡツバラン／ブラジル－ＳＣインテルナシオナル／ブラジル－サントスＦＣ／ブラジル－クルゼイロＥＣ／ブラジル－レアル　ベティス／スペイン－ＣＲフラメンゴ／ブラジル－ＳＣインテルナシオナル／ブラジル,24/0/0,9/0/0,2019/02/23,2019/03/10
大島 僚太,10,ホームグロウン,,MF,1993/01/23,168,64,静岡県,日本,船越ＳＳＳ－静岡学園中－静岡学園高,195/0/1,10/0/0,2011/05/07,2012/05/03
小林 悠,11,,,FW,1987/09/23,177,72,東京都,日本,町田ＪＦＣ－町田ＪＦＣＪｒユース－麻布大附属渕野辺高－拓殖大,260/5/0,106/0/0,2008/07/20,2011/05/03
山根 視来,13,,,DF,1993/12/22,178,72,神奈川県,日本,あざみ野Ｆ．Ｃ．－東京ヴェルディ１９６９ジュニア－東京ヴェルディ１９６９Ｊｒユース－東京ヴェルディＪｒユース－ウィザス高－桐蔭横浜大－湘南ベルマーレ,64/37/0,3/0/0,2017/02/26,2018/04/07
中村 憲剛,14,,,MF,1980/10/31,175,66,東京都,日本,小金井第二中－久留米高－中央大,458/75/0,72/9/0,2003/03/15,2003/04/09
イサカ ゼイン,15,,,DF,1997/05/29,174,75,東京都,日本,町田ＪＦＣ－町田ＪＦＣＪｒユース－桐光学園高－桐蔭横浜大,,,,
長谷川 竜也,16,,,MF,1994/03/07,164,60,静岡県,日本,門池ＳＳＳ－静岡学園中－静岡学園高－順天堂大,64/0/0,12/0/0,2016/08/13,2016/11/03
ジオゴ マテウス,17,,,DF,1993/02/13,173,67,ブラジル,ブラジル,ＳＣインテルナシオナル／ブラジル－ＦＣポルトＢ／ポルトガル－ポルティモネンセＳＣ／ポルトガル－ＳＣインテルナシオナル／ブラジル－ECヴィトーリア／ブラジル－ＡＡポンチプレッタ／ブラジル－ECヴィトーリア／ブラジル－ＡＡポンチプレッタ／ブラジル－クリシューマＥＣ／ブラジル－フェロヴィアリア／ブラジル－ＣＲＢ／ブラジル－コリチーバＦＣ／ブラジル,,,,
三笘 薫,18,ホームグロウン,,MF,1997/05/20,178,71,神奈川県,日本,さぎぬまＳＣ－川崎フロンターレＵ－１２－川崎フロンターレＵ－１５－川崎フロンターレＵ－１８－筑波大,1/0/0,,2020/02/22,
齋藤 学,19,,,MF,1990/04/04,169,66,神奈川県,日本,横浜Ｆ・マリノスプライマリー－横浜Ｆ・マリノスＪｒユース－横浜Ｆ・マリノスユース－横浜Ｆ・マリノス－愛媛ＦＣ－横浜Ｆ・マリノス,233/36/0,35/14/0,2008/08/24,2011/04/24
宮代 大聖,20,ホームグロウン,,FW,2000/05/26,178,73,東京都,日本,渋谷東部ＪＦＣ－川崎フロンターレＵ－１２－川崎フロンターレＵ－１５－川崎フロンターレＵ－１８－川崎フロンターレ－レノファ山口ＦＣ,0/19/0,0/2/0,2019/07/20,2019/09/28
下田 北斗,22,,,MF,1991/11/07,171,66,神奈川県,日本,崇善ＦＣ－勝原ＳＣ－江陽中－大清水高－専修大－ヴァンフォーレ甲府－湘南ベルマーレ,76/10/0,5/0/0,2014/03/01,2015/05/30
藤嶋 栄介,23,,,GK,1992/01/31,186,80,熊本県,日本,フォルテＦＣ熊本ジュニア－フォルテＦＣ熊本－大津高－福岡大－サガン鳥栖－ジェフユナイテッド千葉－サガン鳥栖－松本山雅ＦＣ－サガン鳥栖－レノファ山口ＦＣ－川崎フロンターレ－レノファ山口ＦＣ,3/25/0,,2013/08/10,
安藤 駿介,24,ホームグロウン,,GK,1990/08/10,185,81,東京都,日本,ヴァロールＳＣウェスト－川崎フロンターレＵ－１５－川崎フロンターレＵ－１８－川崎フロンターレ－湘南ベルマーレ,15/0/0,,2011/05/29,
田中 碧,25,ホームグロウン,,MF,1998/09/10,177,69,神奈川県,日本,さぎぬまＳＣ－川崎フロンターレＵ－１２－川崎フロンターレＵ－１５－川崎フロンターレＵ－１８,29/0/0,2/0/0,2018/09/15,2018/09/15
神谷 凱士,26,,,DF,1997/06/16,183,76,愛知県,日本,ＦＣ西尾－ホペイロ刈谷－東海学園高－東海学園大,,,,
丹野 研太,27,,,GK,1986/08/30,186,80,宮城県,日本,ＦＣみやぎバルセロナＪｒユース－ＦＣみやぎバルセロナユース－セレッソ大阪－Ｖ・ファーレン長崎－セレッソ大阪－大分トリニータ－セレッソ大阪－大分トリニータ－セレッソ大阪,28/32/15,,2009/12/05,
原田 虹輝,28,,,MF,2000/08/06,169,60,埼玉県,日本,岩槻ジャガーズサッカースポーツ少年団－クラブ与野－昌平高,,,,
旗手 怜央,30,,,FW,1997/11/21,171,70,三重県,日本,ＦＣ四日市ジュニア－ＦＣ四日市－静岡学園高－順天堂大,2/0/0,,2019/12/07,
山村 和也,34,,,MF,1989/12/02,186,80,長崎県,日本,国見中－国見高－流通経済大－鹿島アントラーズ－セレッソ大阪,132/34/0,16/6/0,2012/03/17,2012/05/19
家長 昭博,41,,,MF,1986/06/13,173,70,兵庫県,日本,ガンバ大阪Ｊｒユース－ガンバ大阪ユース－ガンバ大阪－大分トリニータ－ガンバ大阪－大分トリニータ－ガンバ大阪－セレッソ大阪－ＲＣＤマジョルカ／スペイン－蔚山現代／大韓民国－ガンバ大阪－ＲＣＤマジョルカ／スペイン－大宮アルディージャ,299/50/0,40/12/0,2004/06/26,2004/06/26
